 ,Angle,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv Normalized,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv Normalized,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv Normalized,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv Normalized,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv Normalized,binary_0_OrientJ Hist.csv,binary_0_OrientJ Hist.csv Normalized,binary_1_OrientJ Hist.csv,binary_1_OrientJ Hist.csv Normalized,binary_2_OrientJ Hist.csv,binary_2_OrientJ Hist.csv Normalized,binary_3_OrientJ Hist.csv,binary_3_OrientJ Hist.csv Normalized,binary_4_OrientJ Hist.csv,binary_4_OrientJ Hist.csv Normalized,binary_5_OrientJ Hist.csv,binary_5_OrientJ Hist.csv Normalized,binary_6_OrientJ Hist.csv,binary_6_OrientJ Hist.csv Normalized,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
64,-27,1717.8170,0.0060,429.6425,0.0028,33.4214,0.0002,566.7286,0.0015,856.7451,0.0032,730.7660,0.0046,1152.1730,0.0076,671.2044,0.0018,972.4039,0.0037,742.6509,0.0028,810.2199,0.0029,1619.8492,0.0068,543.6393,0.0022,449.5118,0.0018,896.0056,0.0029,1223.0559,0.0030,13415.8345,0.0538
65,-26,1199.9120,0.0040,329.2080,0.0021,5.4529,2.866E-5,665.2698,0.0017,763.3833,0.0028,702.7966,0.0044,1571.4721,0.0104,297.3705,0.0008,1136.6941,0.0043,661.7834,0.0025,601.2743,0.0021,1740.5658,0.0073,452.4779,0.0018,355.5759,0.0014,923.5486,0.0030,1027.4467,0.0025,12434.2319,0.0511
66,-25,785.5490,0.0030,307.0029,0.0020,10.3939,5.463E-5,807.1840,0.0021,914.3101,0.0034,738.6996,0.0046,1205.3044,0.0080,288.6577,0.0008,1583.5018,0.0060,695.3741,0.0026,502.2714,0.0018,1424.7484,0.0060,493.8066,0.0020,160.4445,0.0007,934.1847,0.0030,902.9550,0.0022,11754.3881,0.0483
67,-24,423.9220,0.0010,476.3442,0.0031,6.3548,3.340E-5,1100.7554,0.0029,1079.9862,0.0040,762.1786,0.0048,1561.3962,0.0103,581.0956,0.0015,2925.5680,0.0111,811.0840,0.0031,385.2062,0.0014,1287.3641,0.0054,583.1666,0.0023,83.5316,0.0003,928.1003,0.0030,846.7333,0.0021,13842.7871,0.0563
68,-23,414.9920,0.0010,801.5638,0.0052,0,0,1043.5256,0.0027,623.7236,0.0023,1648.8878,0.0103,1580.4802,0.0104,749.4692,0.0020,13667.8053,0.0521,885.5736,0.0034,319.5426,0.0011,1552.6046,0.0065,717.3652,0.0029,47.3536,0.0002,1059.5181,0.0034,841.9402,0.0020,25954.3454,0.1055
69,-22,459.0480,0.0020,780.4078,0.0051,6.4926,3.413E-5,1193.1932,0.0031,579.2063,0.0022,2931.6617,0.0184,1207.0626,0.0080,788.1688,0.0021,2941.3089,0.0112,1798.2742,0.0068,315.8380,0.0011,1837.3959,0.0077,895.8078,0.0036,68.1655,0.0003,1998.4855,0.0064,1001.8149,0.0024,18802.3317,0.0804
70,-21,506.3580,0.0020,540.6228,0.0035,20.3344,0.0001,1632.9479,0.0043,661.3024,0.0025,1640.9574,0.0103,772.5446,0.0051,586.2944,0.0015,1504.1042,0.0057,2547.9729,0.0097,327.9475,0.0012,1471.7090,0.0062,1175.8326,0.0047,99.7479,0.0004,1768.0409,0.0057,773.0212,0.0019,16029.7381,0.0648
71,-20,500.0850,0.0020,475.6508,0.0031,67.6458,0.0004,2223.1361,0.0058,849.5367,0.0032,892.7375,0.0056,503.3184,0.0033,499.2763,0.0013,913.2273,0.0035,889.9498,0.0034,374.2991,0.0013,1056.2350,0.0044,1528.6442,0.0061,172.6654,0.0007,1748.5575,0.0056,619.8391,0.0015,13314.8040,0.0512
72,-19,782.0870,0.0030,422.6094,0.0027,179.5967,0.0009,4168.2745,0.0109,2429.4198,0.0090,900.7625,0.0056,372.5832,0.0025,490.6609,0.0013,762.9654,0.0029,629.8217,0.0024,380.8016,0.0013,1134.3567,0.0048,2715.0185,0.0109,163.1766,0.0007,2159.6051,0.0069,1191.0376,0.0029,18882.7772,0.0687
73,-18,748.8450,0.0030,448.8042,0.0029,238.6587,0.0013,3961.0084,0.0104,3413.2040,0.0127,964.6888,0.0061,306.3860,0.0020,897.7145,0.0024,871.6421,0.0033,672.2888,0.0026,313.0843,0.0011,1519.5543,0.0064,7169.0615,0.0287,151.8491,0.0006,3185.8334,0.0102,1329.1212,0.0032,26191.7443,0.0969
