 ,Angle,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv Normalized,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
126,35,1250.6443,0.0046,1323.3129,0.0035,4011.8730,0.0109,6585.8302,0.0190
127,36,2143.9713,0.0078,1962.3997,0.0052,1206.0103,0.0033,5312.3813,0.0163
128,37,1752.7095,0.0064,3375.3484,0.0090,723.7775,0.0020,5851.8354,0.0174
129,38,1925.8655,0.0071,1928.8372,0.0051,778.8889,0.0021,4633.5916,0.0143
130,39,3006.7542,0.0110,1286.3010,0.0034,865.3418,0.0024,5158.3970,0.0168
131,40,2712.2906,0.0099,1964.0237,0.0052,1103.7542,0.0030,5780.0685,0.0181
132,41,2522.3367,0.0092,2572.2419,0.0068,1930.1528,0.0053,7024.7314,0.0213
133,42,4020.6714,0.0147,3023.0991,0.0080,1875.9314,0.0051,8919.7019,0.0278
134,43,5881.2374,0.0215,2569.4006,0.0068,2079.0522,0.0057,10529.6902,0.0340
135,44,8263.9302,0.0303,2929.1272,0.0078,2422.5568,0.0066,13615.6142,0.0447
136,45,15577.4390,0.0570,1890.1584,0.0050,4555.0800,0.0124,22022.6774,0.0744
137,46,6891.6041,0.0252,760.8378,0.0020,6848.6665,0.0186,14501.1084,0.0458
138,47,3454.0606,0.0126,444.2053,0.0012,4592.7900,0.0125,8491.0559,0.0263
139,48,2245.2767,0.0082,339.8605,0.0009,2578.3772,0.0070,5163.5144,0.0161
140,49,1591.8858,0.0058,283.0190,0.0008,1881.6311,0.0051,3756.5359,0.0117
141,50,1272.6636,0.0047,243.2895,0.0006,1187.0361,0.0032,2702.9892,0.0085
142,51,1206.7321,0.0044,214.4515,0.0006,1007.0380,0.0027,2428.2216,0.0077
143,52,950.0225,0.0035,471.4977,0.0013,1036.2534,0.0028,2457.7736,0.0076
144,53,654.1955,0.0024,876.9701,0.0023,879.6846,0.0024,2410.8502,0.0071
145,54,732.1592,0.0027,489.0179,0.0013,761.7047,0.0021,1982.8818,0.0061
146,55,1045.0075,0.0038,255.3420,0.0007,704.2211,0.0019,2004.5706,0.0064
147,56,908.9977,0.0033,118.0182,0.0003,751.4662,0.0020,1778.4821,0.0056
148,57,796.9114,0.0029,76.6475,0.0002,747.4419,0.0020,1621.0008,0.0051
149,58,708.3841,0.0026,34.6282,9.195E-5,704.8607,0.0019,1447.8730,0.0046
150,59,746.6148,0.0027,0,0,685.8112,0.0019,1432.4260,0.0046
151,60,757.7269,0.0028,14.8049,3.931E-5,690.1077,0.0019,1462.6395,0.0047
152,61,423.7862,0.0016,323.4095,0.0009,708.5741,0.0019,1455.7698,0.0044
153,62,237.8614,0.0009,379.7994,0.0010,760.1535,0.0021,1377.8143,0.0040
154,63,194.0701,0.0007,350.1112,0.0009,915.4945,0.0025,1459.6758,0.0041
155,64,318.4368,0.0012,336.7714,0.0009,1407.8037,0.0038,2063.0119,0.0059
156,65,325.9406,0.0012,297.4665,0.0008,2211.9340,0.0060,2835.3411,0.0080
157,66,287.4162,0.0011,233.7667,0.0006,7082.9995,0.0193,7604.1824,0.0210
158,67,244.8510,0.0009,184.2806,0.0005,14958.0776,0.0407,15387.2092,0.0421
159,68,200.7559,0.0007,150.4421,0.0004,12661.9829,0.0345,13013.1809,0.0356
160,69,201.0963,0.0007,132.2329,0.0004,2865.9277,0.0078,3199.2569,0.0089
161,70,175.4858,0.0006,133.2695,0.0004,1548.5836,0.0042,1857.3389,0.0052
162,71,551.3472,0.0020,150.3008,0.0004,1124.7504,0.0031,1826.3984,0.0055
163,72,770.5840,0.0028,354.4111,0.0009,1091.3322,0.0030,2216.3273,0.0067
164,73,738.9485,0.0027,1118.8243,0.0030,1061.8936,0.0029,2919.6664,0.0086
165,74,515.8990,0.0019,867.3872,0.0023,1170.7681,0.0032,2554.0543,0.0074
166,75,1321.1275,0.0048,887.1068,0.0024,1462.8580,0.0040,3671.0923,0.0112
167,76,1084.8427,0.0040,1025.2390,0.0027,1199.0031,0.0033,3309.0848,0.0100
168,77,646.2988,0.0024,1054.7991,0.0028,1084.5605,0.0030,2785.6584,0.0082
169,78,805.6535,0.0029,966.5830,0.0026,1303.7500,0.0035,3075.9865,0.0090
170,79,997.8709,0.0037,919.2141,0.0024,1868.8371,0.0051,3785.9221,0.0112
171,80,1079.1524,0.0040,866.2220,0.0023,1488.9343,0.0041,3434.3087,0.0104
172,81,1201.1010,0.0044,717.3824,0.0019,2076.7404,0.0057,3995.2238,0.0120
173,82,1489.7327,0.0055,646.2589,0.0017,3185.9738,0.0087,5321.9654,0.0159
174,83,1966.2342,0.0072,767.4062,0.0020,1114.8522,0.0030,3848.4926,0.0122
175,84,475.9913,0.0017,1604.4563,0.0043,939.8597,0.0026,3020.3073,0.0086
176,85,323.9555,0.0012,2923.5327,0.0078,1006.2198,0.0027,4253.7080,0.0117
177,86,314.1292,0.0012,2483.6362,0.0066,1163.7119,0.0032,3961.4773,0.0110
178,87,380.9011,0.0014,1864.9016,0.0050,1311.6951,0.0036,3557.4978,0.0100
179,88,487.7070,0.0018,1971.7446,0.0052,1070.3232,0.0029,3529.7748,0.0099
180,89,708.1912,0.0026,2327.6096,0.0062,1529.4239,0.0042,4565.2247,0.0130
